CODIGO DANE,MUNICIPIO,HABITANTES
52354,Imués,7452
52356,Ipiales,115936
52378,La Cruz,18659
52381,La Florida,9920
52385,La Llanada,6476
52390,La Tola,7468
52399,La Unión,31778
52405,Leiva,9579
52411,Linares,10021
52418,Los Andes,9276
52427,Magüí,25570
52435,Mallama,8954
52473,Mosquera,12595
52480,Nariño,4350
52490,Olaya Herrera,25232
52506,Ospina,6999
52520,Francisco Pizarro,14170
52540,Policarpa,9787
52560,Potosí,10067
52565,Providencia,5558
52573,Puerres,8372
52585,Pupiales,17234
52612,Ricaurte,20078
52621,Roberto Payán,12708
52678,Samaniego,27766
52683,Sandoná,19787
52685,San Bernardo,9179
52687,San Lorenzo,18415
52693,San Pablo,14806
52694,San Pedro de Cartago,6826
52696,Santa Bárbara,13253
52699,Santacruz,11086
52720,Sapuyes,7238
52786,Taminango,17897
52788,Tangua,13333
52835,San Andrés de Tumaco,257326
52838,Túquerres,44614
52885,Yacuanquer,10967
54001,San José de Cúcuta,791986
54003,Ábrego,34574
54051,Arboledas,10246
54099,Bochalema,9014
54109,Bucarasica,6739
54125,Cácota,2969
54128,Cáchira,11410
54172,Chinácota,19219
54174,Chitagá,12629
54206,Convención,20019
54223,Cucutilla,8636
54239,Durania,4903
54245,El Carmen,14309
54250,El Tarra,22346
54261,El Zulia,29955
54313,Gramalote,7840
54344,Hacarí,10804
54347,Herrán,7465
54377,Labateca,6699
54385,La Esperanza,12610
54398,La Playa,8155
54405,Los Patios,99081
54418,Lourdes,4270
54480,Mutiscua,4617
54498,Ocaña,131784
54518,Pamplona,54930
54520,Pamplonita,5903
54553,Puerto Santander,9439
54599,Ragonvalia,6459
54660,Salazar,10931
54670,San Calixto,12405
54673,San Cayetano,7939
54680,Santiago,3737
54720,Sardinata,27312
54743,Silos,6670
54800,Teorama,18008
54810,Tibú,59845
54820,Toledo,16634
54871,Villa Caro,5403
54874,Villa del Rosario,113384
63001,Armenia,312551
63111,Buenavista,3208
63130,Calarcá,76803
63190,Circasia,29802
63212,Córdoba,5884
63272,Filandia,12570
63302,Génova,7636
63401,La Tebaida,35692
63470,Montenegro,38469
63548,Pijao,5251
63594,Quimbaya,31931
63690,Salento,9772
66001,Pereira,485373
66045,Apía,12432
66075,Balboa,6406
66088,Belén de Umbría,25135
66170,Dosquebradas,227696
66318,Guática,12319
66383,La Celia,7554
66400,La Virginia,28465
66440,Marsella,17005
66456,Mistrató,17555
